t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1578158215,0,0.000000,0.000000,0.000000,0.000000,events/second
1578158218,0,0.000000,0.000000,0.000000,0.000000,events/second
1578158221,0,0.000000,0.000000,0.000000,0.000000,events/second
1578158224,0,0.000000,0.000000,0.000000,0.000000,events/second
1578158227,0,0.000000,0.000000,0.000000,0.000000,events/second
1578158230,0,0.000000,0.000000,0.000000,0.000000,events/second
1578158233,0,0.000000,0.000000,0.000000,0.000000,events/second
1578158236,0,0.000000,0.000000,0.000000,0.000000,events/second
1578158239,0,0.000000,0.000000,0.000000,0.000000,events/second
1578158242,0,0.000000,0.000000,0.000000,0.000000,events/second
1578158245,0,0.000000,0.000000,0.000000,0.000000,events/second
1578158248,0,0.000000,0.000000,0.000000,0.000000,events/second
1578158251,0,0.000000,0.000000,0.000000,0.000000,events/second
1578158254,0,0.000000,0.000000,0.000000,0.000000,events/second
1578158257,0,0.000000,0.000000,0.000000,0.000000,events/second
1578158260,0,0.000000,0.000000,0.000000,0.000000,events/second
1578158263,0,0.000000,0.000000,0.000000,0.000000,events/second
1578158266,0,0.000000,0.000000,0.000000,0.000000,events/second
1578158269,0,0.000000,0.000000,0.000000,0.000000,events/second
1578158272,0,0.000000,0.000000,0.000000,0.000000,events/second
1578158275,0,0.000000,0.000000,0.000000,0.000000,events/second
1578158278,0,0.000000,0.000000,0.000000,0.000000,events/second
1578158281,0,0.000000,0.000000,0.000000,0.000000,events/second
1578158284,0,0.000000,0.000000,0.000000,0.000000,events/second
1578158287,0,0.000000,0.000000,0.000000,0.000000,events/second
1578158290,0,0.000000,0.000000,0.000000,0.000000,events/second
1578158293,0,0.000000,0.000000,0.000000,0.000000,events/second
1578158296,0,0.000000,0.000000,0.000000,0.000000,events/second
1578158299,0,0.000000,0.000000,0.000000,0.000000,events/second
1578158302,0,0.000000,0.000000,0.000000,0.000000,events/second
1578158305,0,0.000000,0.000000,0.000000,0.000000,events/second
1578158308,0,0.000000,0.000000,0.000000,0.000000,events/second
1578158311,0,0.000000,0.000000,0.000000,0.000000,events/second
1578158314,0,0.000000,0.000000,0.000000,0.000000,events/second
1578158317,0,0.000000,0.000000,0.000000,0.000000,events/second
1578158320,0,0.000000,0.000000,0.000000,0.000000,events/second
1578158323,0,0.000000,0.000000,0.000000,0.000000,events/second
1578158326,0,0.000000,0.000000,0.000000,0.000000,events/second
1578158329,0,0.000000,0.000000,0.000000,0.000000,events/second
1578158332,0,0.000000,0.000000,0.000000,0.000000,events/second
1578158335,0,0.000000,0.000000,0.000000,0.000000,events/second
1578158338,0,0.000000,0.000000,0.000000,0.000000,events/second
1578158341,0,0.000000,0.000000,0.000000,0.000000,events/second
1578158344,0,0.000000,0.000000,0.000000,0.000000,events/second
1578158347,0,0.000000,0.000000,0.000000,0.000000,events/second
1578158350,0,0.000000,0.000000,0.000000,0.000000,events/second
1578158353,0,0.000000,0.000000,0.000000,0.000000,events/second
1578158356,0,0.000000,0.000000,0.000000,0.000000,events/second
1578158359,0,0.000000,0.000000,0.000000,0.000000,events/second
